Unnamed: 0,Title,id,rating,genres,Release year,Overview
4085,Arthur Christmas,51052,PG,Drama;Animation;Family;Comedy,2011,"For hundreds of years, the Claus family has delegated the title ""Santa"" to a chosen few of its members, which can be passed down upon retirement. Each Christmas, Santa and his vast army of highly trained elves produce gifts and distribute them around the world in a one-night high-tech operation. However, when one of 600 million children to receive a gift from Santa on Christmas Eve is missed, it is deemed ‘acceptable’ to all but one—Arthur Claus, the current Santa’s misfit son deemed ineligible for the title, who executes an unauthorised rookie mission to get the last present halfway around the globe before dawn on Christmas morning."
4086,Megan Leavey,424488,PG-13,Drama;War,2017,"The true story of Marine Corporal Megan Leavey, who forms a powerful bond with an aggressive combat dog, Rex. While deployed in Iraq, the two complete more than 100 missions and save countless lives, until an IED explosion puts their faithfulness to the test."
4087,Witness,9281,R,Crime;Drama;Romance;Thriller,1985,"A sheltered Amish child is the sole witness of a brutal murder in a restroom at a Philadelphia train station, and he must be protected.  The assignment falls to a taciturn detective who goes undercover in a Pennsylvania Dutch community. On the farm, he slowly assimilates despite his urban grit, and forges a romantic bond with the child's beautiful mother."
4088,Neighbors 2: Sorority Rising,325133,R,Comedy,2016,A sorority moves in next door to the home of Mac and Kelly Radner who have a young child. The Radner's enlist their former nemeses from the fraternity to help battle the raucous sisters.
4089,Triple Threat,449985,R,Thriller;Action,2019,"A crime syndicate places a hit on a billionaire's daughter, making her the target of an elite assassin squad. A small band of down-and-out mercenaries protects her, fighting tooth and nail to stop the assassins from reaching their target."
4090,Frailty,12149,R,Drama;Thriller;Crime,2002,"A mysterious man arrives at the offices of an FBI agent and recounts his childhood: how his religious fanatic father received visions telling him to kill people who were in fact ""demons."""
4091,Paulie,36568,PG,Comedy;Family,1998,"Paulie, a talking parrot, recounts his travels looking for his original owner to a Russian janitor who helps him to the end of his journey."
4092,Polaroid,431075,PG-13,Horror;Thriller;Mystery,2019,"High school loner Bird Fitcher has no idea what dark secrets are tied to the mysterious Polaroid vintage camera she stumbles upon, but it doesn't take long to discover that those who have their picture taken meet a tragic end. Bird and her friends must survive one more night as they race to solve the mystery of the haunted Polaroid before it kills them all."
4094,Patient Zero,295011,R,Horror;Thriller;Action;Drama,2018,"After an unprecedented global pandemic has turned the majority of humankind into violent infected beings, Morgan, a man gifted with the ability to speak the infected's new language, leads the last survivors on a hunt for patient zero and a cure."
4096,After Hours,10843,R,Comedy;Thriller;Drama,1985,"Desperate to escape his mind-numbing routine, uptown Manhattan office worker Paul Hackett ventures downtown for a hookup with a mystery woman."
4097,Bill & Ted's Bogus Journey,1649,PG,Adventure;Comedy;Science Fiction,1991,"Amiable slackers Bill and Ted are once again roped into a fantastical adventure when De Nomolos, a villain from the future, sends evil robot duplicates of the two lads to terminate and replace them. The robot doubles actually succeed in killing Bill and Ted, but the two are determined to escape the afterlife, challenging the Grim Reaper to a series of games in order to return to the land of the living."
4098,The Land Before Time XIV: Journey of the Brave,339526,G,Animation;Adventure;Family,2016,"On a day known to the dinosaurs as ""Treasure Day"", Bron becomes stuck in the Mysterious Beyond. This event urges the young Longneck Littlefoot to take his friends on a quest to the Fire Mountain to save his father. Along the way, they befriend a Flyer."
4099,Silver Bullet,17898,R,Horror,1985,"The small city of Tarker's Mill is startled by a series of sadistic murders. The population fears that this is the work of a maniac. During a search a mysterious, hairy creature is observed. This strange appearance is noticed once a month. People lock themselves up at night, but there's one boy who's still outside, he's preparing the barbecue."
4100,Northmen: A Viking Saga,286873,R,Adventure;Action;Drama,2014,A band of Vikings cross enemy lines and a panicked race begins. The losers will pay with their lives.
4101,The Last Legion,9703,PG-13,Action;Adventure;Fantasy;War,2007,"As the Roman empire crumbles, young Romulus Augustus flees the city and embarks on a perilous voyage to Britain to track down a legion of supporters."
4102,Red Corner,9407,R,Crime;Drama;Thriller,1997,"An American attorney on business in China, ends up wrongfully on trial for murder and his only key to innocence is a female defense lawyer from the country."
4103,The Breed,10063,R,Thriller;Horror,2006,"Brothers John and Matt have inherited an island cabin from their recently deceased uncle. Along with Matt's girlfriend, Nicki, and other mutual friends, the siblings travel to the cabin for a relaxing weekend getaway. But, not long after arriving, the group is besieged by ravenous dogs. They watch in horror as another vacationer, Luke, is eaten alive. Soon, they discover a training facility where the dogs have been bred to kill."
4104,24 Hours To Live,470114,R,Action;Science Fiction;Thriller;Mystery,2017,An assassin seeks redemption after being given a second chance at life.
4105,Pooh's Grand Adventure: The Search for Christopher Robin,14903,G,Animation;Family;Adventure,1997,"Pooh gets confused when Christopher Robin leaves him a note to say that he has gone back to school after the holidays. So Pooh, Piglet, Tigger, Eeyore and Rabbit go in search of Christopher Robin which leads to a big adventure."
4106,Archive,606234,R,Science Fiction;Drama;Fantasy;Thriller,2020,"2038: George Almore is working on a true human-equivalent AI, and his latest prototype is almost ready. This sensitive phase is also the riskiest as he has a goal that must be hidden at all costs—being reunited with his dead wife."
4107,Dear Evan Hansen,567690,PG-13,Drama,2021,"Evan Hansen, a high schooler with social anxiety, unintentionally gets caught up in a lie after the family of a classmate who committed suicide mistakes one of Hansen’s letters for their son’s suicide note."
4108,Centurion,23759,R,Adventure;Action;Drama,2010,"Britain, A.D. 117. Quintus Dias, the sole survivor of a Pictish raid on a Roman frontier fort, marches north with General Virilus' legendary Ninth Legion, under orders to wipe the Picts from the face of the Earth and destroy their leader, Gorlacon."
4109,Invictus,22954,PG-13,Drama;History,2009,"Newly elected President Nelson Mandela knows his nation remains racially and economically divided in the wake of apartheid. Believing he can bring his people together through the universal language of sport, Mandela rallies South Africa's rugby union team as they make their historic run to the 1995 Rugby World Cup Championship match."
4110,Embrace of the Vampire,18392,R,Horror;Fantasy,1995,An 18-year-old college freshman is seduced by a handsome vampire lover who introduces her to a dark world of carnal desires.
4111,Ben Is Back,492452,R,Drama,2018,"19-year-old Ben Burns unexpectedly returns home to his family's suburban home on Christmas Eve morning. Ben's mother, Holly, is relieved and welcoming but wary of her son staying clean. Over a turbulent 24 hours, new truths are revealed, and a mother's undying love for her son is tested as she does everything in her power to keep him safe."
4112,Pleasantville,2657,PG-13,Fantasy;Comedy;Drama,1998,"Geeky teenager David and his popular twin sister, Jennifer, get sucked into the black-and-white world of a 1950s TV sitcom called ""Pleasantville,"" and find a world where everything is peachy keen all the time. But when Jennifer's modern attitude disrupts Pleasantville's peaceful but boring routine, she literally brings color into its life."
4113,Chernobyl Diaries,93856,R,Horror;Thriller,2012,"A group of six tourists looking to go off the beaten path, hire an 'extreme tour guide' who, ignoring warnings, takes them into the city of Pripyat, the former home to the workers of the Chernobyl nuclear reactor, but now a deserted town since the disaster more than 25 years earlier. After a brief exploration of the abandoned city, the group members find themselves stranded, only to discover that they are not alone."
